"Year","Month","DayofMonth","DayOfWeek","DepTime","CRSDepTime","ArrTime","CRSArrTime","UniqueCarrier","FlightNum","TailNum","ActualElapsedTime","CRSElapsedTime","AirTime","ArrDelay","DepDelay","Origin","Dest","Distance","TaxiIn","TaxiOut","Cancelled","CancellationCode","Diverted","CarrierDelay","WeatherDelay","NASDelay","SecurityDelay","LateAircraftDelay"
2006,11,6,1,926,925,1048,1114,"NW",152,"N364NW",202,229,178,-26,1,"MSP","SNA",1522,4,20,0,"",0,0,0,0,0,0
2005,12,26,1,741,740,1133,1117,"UA",702,"N366UA",172,157,119,16,1,"SJC","DEN",948,36,17,0,"",0,0,0,16,0,0
2006,7,20,4,2022,1830,2139,1952,"MQ",4619,"N727AE",77,82,46,107,112,"BOS","JFK",187,21,10,0,"",0,107,0,0,0,0
2005,4,12,2,1527,1525,1628,1621,"US",856,"N376US",61,56,46,7,2,"ILM","CLT",185,9,6,0,"",0,0,0,0,0,0
2005,10,14,5,1921,1925,2019,2031,"OO",3696,"N214SW",58,66,45,-12,-4,"SLC","SUN",223,4,9,0,"",0,0,0,0,0,0
2005,9,6,2,1957,2001,2243,2251,"DL",1474,"N967DL",106,110,87,-8,-4,"MCI","ATL",692,9,10,0,"",0,0,0,0,0,0
2006,7,5,3,1335,1304,1513,1448,"UA",1167,"N932UA",98,104,83,25,31,"PDX","SFO",550,5,10,0,"",0,10,0,0,0,15
2006,11,19,7,1433,1430,1933,1940,"WN",1968,"N751",180,190,167,-7,3,"ABQ","TPA",1497,5,8,0,"",0,0,0,0,0,0
2006,8,4,5,638,640,843,855,"WN",2886,"N499",125,135,114,-12,-2,"TPA","BWI",842,3,8,0,"",0,0,0,0,0,0
2005,2,12,6,558,600,704,717,"UA",1164,"N577UA",66,77,46,-13,-2,"MSP","ORD",334,4,16,0,"",0,0,0,0,0,0
2005,5,12,4,704,705,753,800,"DL",1626,"N375DL",109,115,90,-7,-1,"ATL","ORD",606,8,11,0,"",0,0,0,0,0,0
2005,12,12,1,812,815,1109,1110,"XE",3185,"N11106",177,175,150,-1,-3,"CLE","MIA",1080,7,20,0,"",0,0,0,0,0,0
2006,9,17,7,855,910,1140,1203,"YV",7454,"N27173",105,113,89,-23,-15,"ORD","CAE",666,8,8,0,"",0,0,0,0,0,0
2006,12,8,5,1259,1220,1446,1355,"MQ",4737,"N727AE",107,95,72,51,39,"RDU","LGA",431,4,31,0,"",0,0,0,44,0,7
2006,4,23,7,821,821,928,930,"MQ",4174,"N909AE",67,69,47,-2,0,"DSM","ORD",299,10,10,0,"",0,0,0,0,0,0
2006,6,26,1,1413,1418,1742,1744,"UA",726,"N565UA",149,146,126,-2,-5,"SFO","DEN",967,5,18,0,"",0,0,0,0,0,0
2006,2,14,2,1616,1625,1742,1740,"XE",2572,"N11119",86,75,55,2,-9,"BRO","IAH",308,19,12,0,"",0,0,0,0,0,0
2006,12,9,6,1445,1500,1538,1618,"OH",5411,"N708CA",53,78,39,-40,-15,"BGR","BOS",201,5,9,0,"",0,0,0,0,0,0
2006,4,15,6,1106,1115,1223,1251,"FL",405,"N974AT",77,96,60,-28,-9,"IND","ATL",432,7,10,0,"",0,0,0,0,0,0
2006,4,3,1,1423,1425,1520,1458,"XE",2823,"N34110",177,153,148,22,-2,"IAH","TUS",936,3,26,0,"",0,0,0,22,0,0
2006,10,9,1,1850,1855,2017,2047,"UA",861,"N520UA",87,112,70,-30,-5,"BOS","IAD",413,3,14,0,"",0,0,0,0,0,0
2005,7,14,4,942,945,1126,1124,"XE",2365,"N11137",224,219,180,2,-3,"IAH","BFL",1428,8,36,0,"",0,0,0,0,0,0
2005,9,28,3,1519,1520,1722,1720,"DH",1034,"N631BR",123,120,86,2,-1,"IAD","ATL",533,6,31,0,"",0,0,0,0,0,0
2005,8,2,2,736,740,910,904,"UA",659,"N547UA",94,84,75,6,-4,"SFO","SAN",447,3,16,0,"",0,0,0,0,0,0
2005,4,25,1,728,733,932,943,"AA",1766,"N4WHAA",64,70,47,-11,-5,"ORD","DTW",235,6,11,0,"",0,0,0,0,0,0
2006,1,24,2,1835,1835,1948,2005,"WN",558,"N652SW",73,90,63,-17,0,"SAN","OAK",446,3,7,0,"",0,0,0,0,0,0
2005,9,7,3,1610,1610,1855,1900,"WN",978,"N306SW",105,110,96,-5,0,"ELP","HOU",677,2,7,0,"",0,0,0,0,0,0
2006,5,15,1,1714,1716,1942,1941,"AA",1185,"N584AA",148,145,123,1,-2,"DFW","MSP",852,10,15,0,"",0,0,0,0,0,0
2006,9,6,3,1841,1842,2010,2022,"DL",1159,"N997DL",149,160,126,-12,-1,"ATL","MSP",906,10,13,0,"",0,0,0,0,0,0
2005,8,2,2,1417,1419,1955,2005,"AA",656,"N474AA",218,226,200,-10,-2,"PDX","DFW",1616,9,9,0,"",0,0,0,0,0,0
2006,12,2,6,1433,1415,1620,1605,"F9",857,"N939FR",107,110,92,15,18,"DEN","PHX",602,4,11,0,"",0,0,0,2,0,13
2006,11,1,3,2010,1830,2237,2107,"DL",1408,"N917DL",147,157,105,90,100,"PHL","ATL",665,10,32,0,"",0,0,0,0,0,90
2005,12,22,4,528,530,849,842,"DL",269,"N999DN",141,132,123,7,-2,"SAT","ATL",874,8,10,0,"",0,0,0,0,0,0
2005,6,4,6,11,2300,100,2345,"NW",709,"N322NB",49,45,39,75,71,"GTF","FCA",146,5,5,0,"",0,0,0,4,0,71
2005,4,1,5,1954,2002,2117,2127,"OO",6412,"N938SW",83,85,70,-10,-8,"EUG","SFO",451,4,9,0,"",0,0,0,0,0,0
2006,10,17,2,1359,1330,1631,1607,"AS",195,"N305AS",212,217,196,24,29,"SEA","ANC",1449,5,11,0,"",0,0,0,0,0,24
2006,3,22,3,902,906,1240,1252,"AA",1346,"N5TUAA",158,166,132,-12,-4,"DFW","BWI",1217,8,18,0,"",0,0,0,0,0,0
2005,4,5,2,2002,1900,2240,2041,"US",615,"N624AU",338,281,315,119,62,"CLT","LAS",1916,6,17,0,"",0,0,0,119,0,0
2006,9,8,5,1739,1706,1850,1825,"DL",1077,"N919DL",131,139,112,25,33,"ATL","DFW",732,3,16,0,"",0,0,0,0,0,25
2006,6,26,1,850,800,1146,1050,"OH",5221,"N916CA",176,170,150,56,50,"ROC","MCO",1033,6,20,0,"",0,50,0,6,0,0
2005,2,15,2,1645,1650,1938,1939,"AA",2083,"N5EYAA",353,349,331,-1,-5,"FLL","LAX",2342,8,14,0,"",0,0,0,0,0,0
2005,5,25,3,1403,1402,1913,1930,"UA",1488,"N496UA",190,208,173,-17,1,"PHX","ORD",1440,8,9,0,"",0,0,0,0,0,0
2005,6,11,6,1617,1545,NA,1903,"CO",41,"N13138",NA,378,NA,NA,32,"EWR","SFO",2565,0,33,0,"",1,0,0,0,0,0
2006,11,6,1,930,925,1357,1350,"WN",1852,"N403",207,205,192,7,5,"PHX","MDW",1444,4,11,0,"",0,0,0,0,0,0
2006,11,29,3,1438,1425,1544,1525,"AA",1074,"N488AA",66,60,48,19,13,"AUS","DFW",190,9,9,0,"",0,13,0,6,0,0
2006,2,7,2,1709,1712,1816,1810,"CO",1678,"N63305",67,58,39,6,-3,"SAT","IAH",191,7,21,0,"",0,0,0,0,0,0
2005,1,1,6,617,618,927,934,"UA",1254,"N594UA",130,136,106,-7,-1,"SAN","DEN",853,6,18,0,"",0,0,0,0,0,0
2005,11,6,7,702,701,1032,1040,"NW",736,"N401EA",150,159,137,-8,1,"MSP","JFK",1028,7,6,0,"",0,0,0,0,0,0
2005,12,3,6,928,936,1240,1233,"NW",1109,"N519US",192,177,154,7,-8,"RSW","DTW",1085,12,26,0,"",0,0,0,0,0,0
2006,5,23,2,2025,2030,2325,2337,"OO",6496,"N758SK",120,127,103,-12,-5,"LAX","COS",833,5,12,0,"",0,0,0,0,0,0
2006,3,16,4,1245,1230,1550,1545,"WN",1759,"N615SW",125,135,110,5,15,"PHX","TUL",935,5,10,0,"",0,0,0,0,0,0
2006,6,7,3,712,715,803,805,"YV",6410,"N942LR",51,50,29,-2,-3,"TUS","PHX",110,10,12,0,"",0,0,0,0,0,0
2006,3,23,4,1633,1635,1741,1743,"OH",5818,"N937CA",68,68,44,-2,-2,"CVG","CLE",221,3,21,0,"",0,0,0,0,0,0
2006,12,11,1,1931,1905,2016,2000,"MQ",3765,"N647AE",45,55,32,16,26,"DFW","ABI",158,3,10,0,"",0,3,0,0,0,13
2005,8,7,7,742,735,1059,1057,"CO",252,"N37290",137,142,114,2,7,"DEN","IAH",861,8,15,0,"",0,0,0,0,0,0
2005,7,15,5,1812,1812,2126,2033,"MQ",4163,"N651AE",134,81,50,53,0,"ORD","CMH",296,6,78,0,"",0,0,0,53,0,0
2006,8,1,2,1008,1000,1200,1205,"US",167,"N103UW",292,305,251,-5,8,"PHL","PHX",2075,4,37,0,"",0,0,0,0,0,0
2005,12,1,4,1713,1715,1900,1855,"OO",4037,"N463SW",107,100,82,5,-2,"SLC","FCA",532,5,20,0,"",0,0,0,0,0,0
2006,10,16,1,908,900,942,935,"EV",4490,"N851AS",94,95,78,7,8,"ATL","MSY",425,3,13,0,"",0,0,0,0,0,0
2006,3,23,4,2207,2200,617,609,"US",159,"N178UW",310,309,292,8,7,"SFO","PHL",2521,5,13,0,"",0,0,0,0,0,0
2006,7,22,6,742,740,924,934,"US",35,"N188UW",282,294,261,-10,2,"CLT","LAX",2125,9,12,0,"",0,0,0,0,0,0
2005,6,5,7,1913,1910,2038,2039,"OO",6579,"N980SW",85,89,70,-1,3,"TUS","LAX",451,5,10,0,"",0,0,0,0,0,0
2005,3,31,4,955,955,1003,1010,"WN",1073,"N605SW",68,75,61,-7,0,"JAX","BHM",365,2,5,0,"",0,0,0,0,0,0
2006,9,14,4,1552,1600,1826,1817,"XE",2194,"N17560",94,77,62,9,-8,"MDW","CLE",307,6,26,0,"",0,0,0,0,0,0
2006,10,4,3,2357,2026,59,2139,"UA",359,"N428UA",182,193,161,200,211,"DFW","LAX",1235,6,15,0,"",0,0,0,0,0,200
2006,9,25,1,2057,2055,2207,2153,"AS",69,"N756AS",70,58,45,14,2,"KTN","JNU",234,12,13,0,"",0,0,0,0,0,0
2005,8,30,2,1150,1150,1333,1340,"WN",1608,"N348",43,50,35,-7,0,"ELP","MAF",246,2,6,0,"",0,0,0,0,0,0
2006,4,7,5,1754,1751,1935,1931,"FL",992,"N932AT",101,100,76,4,3,"ATL","PIT",526,5,20,0,"",0,0,0,0,0,0
2005,8,7,7,1524,1524,NA,1921,"AA",1024,"N3BRAA",NA,177,NA,NA,0,"DFW","MIA",1121,0,104,0,"",1,0,0,0,0,0
2005,9,22,4,1259,1249,1441,1426,"MQ",3821,"N906AE",102,97,77,15,10,"DFW","MOB",540,5,20,0,"",0,10,0,5,0,0
2005,8,25,4,1924,1920,2058,2057,"US",1250,"N603AU",94,97,73,1,4,"CLT","PHL",448,3,18,0,"",0,0,0,0,0,0
2006,9,19,2,852,900,1004,1011,"US",2120,"N756UW",72,71,40,-7,-8,"LGA","BOS",185,5,27,0,"",0,0,0,0,0,0
2006,11,8,3,1335,1340,1545,1549,"NW",1724,"N755NW",70,69,43,-4,-5,"MKE","DTW",238,9,18,0,"",0,0,0,0,0,0
2006,5,2,2,1430,1440,1631,1657,"EV",4521,"N934EV",121,137,100,-26,-10,"ROC","ATL",749,7,14,0,"",0,0,0,0,0,0
2006,5,29,1,951,1000,1344,1354,"AA",1065,"N632AA",233,234,215,-10,-9,"BOS","SJU",1674,3,15,0,"",0,0,0,0,0,0
2006,9,7,4,1430,1320,1710,1609,"YV",7280,"N715SF",100,109,79,61,70,"ORD","MDT",594,6,15,0,"",0,61,0,0,0,0
2005,2,22,2,619,619,1223,1233,"AA",844,"N3CPAA",244,254,223,-10,0,"SJC","ORD",1829,6,15,0,"",0,0,0,0,0,0
2005,1,27,4,1043,1045,1251,1305,"DL",831,"N928DL",68,80,56,-14,-2,"MSY","ATL",425,6,6,0,"",0,0,0,0,0,0
2006,12,25,1,2010,1945,2136,2119,"OH",5452,"N810CA",86,94,67,17,25,"CVG","ABE",503,3,16,0,"",0,0,17,0,0,0
2006,4,20,4,704,655,805,750,"WN",655,"N332",61,55,42,15,9,"DAL","TUL",237,2,17,0,"",0,9,0,6,0,0
2006,5,14,7,957,950,1330,1325,"DL",986,"N671DN",213,215,180,5,7,"ATL","STT",1599,4,29,0,"",0,0,0,0,0,0
2006,3,26,7,1538,1539,1647,1644,"AA",841,"N573AA",69,65,50,3,-1,"DFW","SAT",247,3,16,0,"",0,0,0,0,0,0
2005,7,9,6,1348,1350,1420,1426,"AA",1511,"N290AA",92,96,75,-6,-2,"DFW","ELP",551,3,14,0,"",0,0,0,0,0,0
2005,4,5,2,2123,2114,2316,2306,"NW",321,"N345NW",233,232,201,10,9,"MSP","LAX",1536,7,25,0,"",0,0,0,0,0,0
2005,6,15,3,1907,1850,2000,1955,"WN",371,"N627SW",53,65,45,5,17,"STL","MDW",251,2,6,0,"",0,0,0,0,0,0
2005,1,3,1,1200,1200,1307,1323,"NW",236,"N311NB",67,83,54,-16,0,"DTW","DCA",405,4,9,0,"",0,0,0,0,0,0
2005,9,18,7,1341,1335,1456,1454,"XE",2766,"N14947",75,79,56,2,6,"BUF","EWR",282,9,10,0,"",0,0,0,0,0,0
2005,9,2,5,2119,2117,2341,2347,"NW",428,"N505US",142,150,121,-6,2,"DTW","MCO",957,8,13,0,"",0,0,0,0,0,0
2005,11,19,6,1556,1535,1828,1807,"UA",1167,"N367UA",152,152,135,21,21,"SEA","LAX",954,9,8,0,"",0,0,0,3,0,18
2006,1,12,4,1137,1145,1426,1424,"AS",641,"N931AS",169,159,139,2,-8,"LAS","SEA",866,10,20,0,"",0,0,0,0,0,0
2005,7,26,2,1224,1210,1514,1511,"MQ",4046,"N857AE",110,121,92,3,14,"ORD","ALB",723,3,15,0,"",0,0,0,0,0,0
2005,11,27,7,1621,1619,1745,1809,"EV",4257,"N702EV",84,110,69,-24,2,"ATL","CLE",554,7,8,0,"",0,0,0,0,0,0
2005,1,19,3,1545,1545,1655,1742,"EV",4606,"N751EV",190,237,179,-47,0,"DFW","OAK",1456,2,9,0,"",0,0,0,0,0,0
2006,11,27,1,2023,2020,2242,2235,"MQ",4167,"N840AE",79,75,46,7,3,"ORD","CMH",296,20,13,0,"",0,0,0,0,0,0
2006,4,19,3,1315,1319,1627,1623,"NW",986,"N372NB",192,184,175,4,-4,"MIA","DTW",1145,8,9,0,"",0,0,0,0,0,0
2005,7,28,4,2044,2050,2128,2137,"OO",6472,"N930SW",44,47,33,-9,-6,"SMF","SFO",86,3,8,0,"",0,0,0,0,0,0
2006,2,16,4,701,700,1207,1145,"FL",300,"N176AT",186,165,128,22,1,"DEN","ATL",1199,7,51,0,"",0,1,0,21,0,0
2006,6,25,7,1552,1520,1637,1611,"US",397,"N168AW",105,111,86,26,32,"DEN","LAS",629,8,11,0,"",0,8,0,0,0,18
2006,11,4,6,920,920,1030,1034,"OH",5383,"N812CA",70,74,51,-4,0,"CVG","GSO",330,4,15,0,"",0,0,0,0,0,0
2006,1,1,7,2155,2115,34,2359,"B6",79,"N618JB",159,164,134,35,40,"JFK","MCO",944,7,18,0,"",0,19,0,0,0,16
2005,4,7,4,1434,1435,1931,1937,"CO",335,"N77261",177,182,156,-6,-1,"SAN","IAH",1303,6,15,0,"",0,0,0,0,0,0
2006,7,29,6,1629,1620,1721,1715,"WN",86,"N522",52,55,41,6,9,"DAL","SAT",248,3,8,0,"",0,0,0,0,0,0
2006,11,19,7,1432,1435,1726,1805,"AA",211,"N5ESAA",354,390,334,-39,-3,"BOS","SFO",2704,4,16,0,"",0,0,0,0,0,0
2006,5,29,1,1512,1500,1641,1636,"OO",6639,"N928SW",89,96,70,5,12,"DEN","BZN",525,3,16,0,"",0,0,0,0,0,0
2006,4,27,4,1642,1641,1822,1826,"FL",236,"N943AT",100,105,84,-4,1,"PBI","ATL",545,6,10,0,"",0,0,0,0,0,0
2005,2,26,6,555,609,648,700,"MQ",4258,"N688AE",53,51,28,-12,-14,"DBQ","ORD",147,8,17,0,"",0,0,0,0,0,0
2006,5,28,7,1657,1659,1924,1931,"AA",1739,"N3BEAA",147,152,122,-7,-2,"DCA","MIA",920,16,9,0,"",0,0,0,0,0,0
2005,12,25,7,2349,2355,39,52,"AS",147,"N713AS",50,57,38,-13,-6,"ANC","FAI",261,5,7,0,"",0,0,0,0,0,0
2006,1,16,1,1148,1132,1509,1458,"UA",958,"N366UA",141,146,113,11,16,"DEN","ORD",888,4,24,0,"",0,0,0,0,0,0
2005,8,7,7,1245,1225,1350,1340,"WN",1770,"N609SW",125,135,110,10,20,"BWI","STL",737,5,10,0,"",0,0,0,0,0,0
2006,3,19,7,1040,1040,1130,1130,"WN",233,"N621SW",50,50,42,0,0,"DAL","AUS",189,2,6,0,"",0,0,0,0,0,0
2005,10,18,2,811,815,1008,1025,"FL",335,"N926AT",117,130,93,-17,-4,"PHL","ATL",665,5,19,0,"",0,0,0,0,0,0
2006,1,20,5,2050,2100,2146,2158,"DL",1186,"N906DA",116,118,83,-12,-10,"SLC","OAK",588,9,24,0,"",0,0,0,0,0,0
2006,12,2,6,737,730,953,940,"XE",2755,"N15985",136,130,113,13,7,"STL","IAH",668,10,13,0,"",0,0,0,0,0,0
2006,3,9,4,1430,1407,1737,1730,"UA",526,"N536UA",127,143,108,7,23,"SFO","DEN",967,5,14,0,"",0,0,0,0,0,0
2006,11,29,3,908,910,941,930,"OH",5314,"N685BR",93,80,73,11,-2,"CVG","BHM",396,5,15,0,"",0,0,0,0,0,0
2006,10,4,3,2232,2229,2327,2323,"NW",960,"N355NW",55,54,33,4,3,"MSP","FSD",197,6,16,0,"",0,0,0,0,0,0
2005,7,2,6,1212,1213,1748,1802,"AA",1836,"N431AA",216,229,188,-14,-1,"PDX","DFW",1616,18,10,0,"",0,0,0,0,0,0
2006,3,14,2,849,850,1217,1205,"B6",221,"N562JB",388,375,185,12,-1,"JFK","LGB",2465,4,19,0,"",0,0,0,0,0,0
2005,10,30,7,2104,2110,2218,2236,"UA",991,"N914UA",134,146,118,-18,-6,"DEN","LAX",862,5,11,0,"",0,0,0,0,0,0
2006,3,25,6,1210,1210,1220,1225,"WN",901,"N506",130,135,120,-5,0,"LBB","LAS",775,3,7,0,"",0,0,0,0,0,0
2006,1,15,7,1742,1737,1942,1930,"OH",5508,"N931CA",60,53,39,12,5,"EVV","CVG",170,7,14,0,"",0,0,0,0,0,0
2006,8,24,4,1023,955,1233,1119,"US",591,"N422US",190,144,161,74,28,"PHL","ORD",678,6,23,0,"",0,0,0,50,0,24
2005,8,14,7,1225,1229,1340,1405,"EV",4231,"N716EV",135,156,119,-25,-4,"ATL","MSP",906,4,12,0,"",0,0,0,0,0,0
2005,3,6,7,1516,1520,1530,1553,"AA",1745,"N483AA",74,93,64,-23,-4,"CMH","STL",410,3,7,0,"",0,0,0,0,0,0
2006,8,24,4,NA,1306,NA,1421,"MQ",4183,"0",NA,135,NA,NA,NA,"SWF","ORD",714,0,0,1,"C",0,0,0,0,0,0
